,left,right
730,15741865,6290724
731,15766806,13863331
732,15770140,12049797
733,15792643,15610774
734,15810983,6699205
735,15825861,10944822
736,15825892,3765728
737,15897280,2669844
738,15974183,15662776
739,15985265,17827115
740,15995958,18080008
741,16007457,8840343
742,16014607,3122533
743,16026677,14495367
744,16045758,10684539
745,16051878,8951591
746,16059078,4130960
747,16087799,2775707
748,16089738,9641919
749,16089743,10340880
750,16095576,20370716
751,16098538,8670503
752,16100461,8711574
753,16141217,13722516
754,16160495,8814922
755,16167914,13834125
756,16223537,8980589
757,16259595,8246081
758,16316916,5592307
759,16327998,17173852
760,16340977,18232369
761,16342197,12031406
762,16345627,16671014
763,16348875,15601640
764,16356967,10319019
765,16361363,13953184
766,16366055,17654645
767,16383966,7371184
768,16385470,18098174
769,16386470,17013169
770,16409132,17896997
771,16415910,9116228
772,16422727,20443571
773,16422744,15589591
774,16424131,13167025
775,16427492,4180774
776,16428373,5369028
777,16431065,17587710
778,16433696,19132527
779,16434560,17328580
780,16434824,17355860
781,16435325,8995807
782,16435686,18861011
783,16442113,3814175
784,16444548,7807684
785,16444552,16339645
786,16444754,9072560
787,16444758,17762417
788,16445073,15481779
789,16445338,16350988
790,16464284,8184598
791,16468935,10781924
792,16472086,16433177
793,16474159,9291437
794,16475849,16823703
795,16485518,9621307
796,16486385,11178891
797,16490014,1141813
798,16492104,10617840
799,16494105,4108720
800,16541149,10079731
801,16544462,4515496
802,16544485,17937123
803,16544712,5730322
804,16545101,4812481
805,16545113,15732503
806,16545179,14501257
807,16545264,5164129
808,16547252,13003574
809,16547268,15732485
810,16547281,13722900
811,16547287,5167842
812,16547292,15732497
813,16547297,15589738
814,16554856,18570360
815,16560178,9068024
816,16561224,6702943
817,16561284,17173922
818,16562142,15894278
819,16588928,17355892
820,16594752,9530532
821,16629788,7786053
822,16630264,5836163
823,16630479,17012001
824,16635345,5859372
825,16636860,11623145
826,16637377,7962986
827,16667592,16950550
828,16675987,13646473
829,16676038,13645610
830,16683883,5956787
831,16683943,7530253
832,16686371,15431795
833,16693923,17654967
834,16713227,17659014
835,16742642,8546775
